Region,Chapter_SubChapter,CODE,BRAND,Plate_No,STATUS
III,Pampanga - Angeles City,chapter60,Ford Ranger 4x4 / 2009,NIW 151,Functional 
I,Pangasinan Dagupan City SCC,chapter61,Ford Ranger 4x4 / 2009,NIE 582,Functional
NCR,Pasay City ,chapter62,Ford Ranger 4x4 / 2009,NOP 944,Functional
NCR,Quezon City ,chapter63,Kia Besta Van / 1997,FEH 828,Functional
NCR,Quezon City ,chapter63,Toyota Hiace Van / 2009,ZRG 820-A016,Functional
NCR,Quezon City ,chapter63,Ford Ranger 4x4 / 2009,NIT 951,Functional
NCR,Quezon City ,chapter63,Ford Ranger 4x4 / 2009,NIL 552,Functional
NCR,Quezon City ,chapter63,Kia Besta Van / 1997,GJX 349,poor
NCR,Quezon City ,chapter63,Toyota Hiace Van / 2009,ZSM 940-A015,Functional
NCR,Quezon City ,chapter63,Nissan Caravan / 1991,ZRL-653-A030,Functional
IV-A,Quezon Lucena City ,chpater64,Ford Ranger 4x4 / 2009,NOP 642,Functional
II,Quirino ,chapter65,Ford Ranger 4x4 / 2009,NIL 522,Functional
NCR,Rizal Chapter (Main),chapter66,Ford Ranger 4x4 / 2009,NIL 541,Functional
NCR,Rizal Chapter (Main),chapter66,Ford Ranger 4x4 / 2007,ZLS 382-A021,Functional
NCR,Rizal Chapter (Main),chapter66,Ford Ranger 4x4 / 2009,NIT 961,Functional
II,Santiago City Sub Chapter,sub14,Toyota Hi-Ace Van / 1993,,Functional
II,Santiago City Sub Chapter,sub14,Ford Ranger 4x4 / 2009,NOP 502,Functional
XII,South Cotabato ,chapter70,Ford Ranger 4x4 / 2007,ZLS 241-A019,Functional
ARMM,Sulu ,chapter73,Kia Besta Van / 1998,KCE 433,poor
XIII,Surigao del Sur ,chapter75,Ford Ranger 4x4 / 2009,NIE 592,minor repair
III,Tarlac,chapter77,Ford Ranger 4x4 / 2007,ZPY 669,Functional
NCR,Valenzuela City,chapter78,Kia Besta Van / 1997,WEL 709,Functional
VIII,Western Samar,chapter79,Ford Ranger 4x4 / 2009,NOP 622,Functional
I,Zambales ,chapter80,Kia Besta Van / 1998,LEB 314,Functional
IX,Zamboanga City,chapter81,Ford Ranger 4x4 / 2009,NOP 652,Functional
IX,Zamboanga City,chapter82,Ford Ranger 4x4 / 2009,NOP 672,Functional
IX,Zamboanga City,chapter83,Kia Besta Van / 1997,LMA 930,poor
IX,Zamboanga City,chapter84,Ford Ranger 4x4 / 2009,NIE 552,Functional
IX,Zamboanga del Norte ,chapter82,Ford Ranger 4x4 / 2009,NOP 632,Functional
